# Regal (regmovies.com) theatre code -> our Cinema display name.
# Built from Regal's own roster (GET /api/theatres) matched to data/us/venues.json
# by venue coordinates + name tokens, then cross-checked against the theatre slug
# in https://www.regmovies.com/sitemap.xml (/theatres/<slug>-<code>). 394 of 396
# geo matches agreed with the sitemap slug independently; the rest were confirmed
# one by one. Recorded 2026-08-30.
#
# theatreCode	displayName	venueSlug	rosterName	city	state	ianaTimezone
1026	Regal Edwards Ontario Palace	regal-edwards-ontario-palace	Ontario Palace 22 IMAX & RPX	Ontario	CA	US/Pacific
1049	Regal Edwards Rancho San Diego	regal-edwards-rancho-san-diego	Rancho San Diego Stadium 15	El Cajon	CA	US/Pacific
1030	Regal Edwards West Covina	regal-edwards-west-covina	Edwards West Covina Stadium 18	West Covina	CA	US/Pacific
1807	Regal El Dorado Hills	regal-el-dorado-hills	El Dorado Stadium 14 & IMAX	El Dorado Hills	CA	US/Pacific
0341	Regal Elmwood Center Buffalo	regal-elmwood-center-buffalo	Regal Elmwood Center 16	Buffalo	NY	US/Eastern
1805	Regal Escondido	regal-escondido	Escondido Stadium 16 & IMAX	Escondido	CA	US/Pacific
1412	Regal Essex Crossing New York	regal-essex-crossing-new-york	Regal Essex Crossing & RPX	New York	NY	US/Eastern
0663	Regal Everett	regal-everett	Regal Everett Stadium 16 & RPX	Everett	WA	US/Pacific
0850	Regal Evergreen Hillsboro	regal-evergreen-hillsboro	Evergreen Parkway Stm 13 & RPX	Hillsboro	OR	US/Pacific
1275	Regal Fairfax Towne Center	regal-fairfax-towne-center	Fairfax Towne Center 10	Fairfax	VA	US/Eastern
0389	Regal Fairfield Commons Beavercreek	regal-fairfield-commons-beavercreek	Fairfield Commons Stm 20 & RPX	Beavercreek	OH	US/Eastern
1319	Regal Farmingdale	regal-farmingdale	UA Farmingdale Stm 10 & IMAX	Farmingdale	NY	US/Eastern
1270	Regal Flintridge La Canada	regal-flintridge-la-canada	UA La Canada 8	La Canada	CA	US/Pacific
1653	Regal Forum Rolla	regal-forum-rolla	Regal Forum 5	Rolla	MO	US/Central
1317	Regal Fossil Creek Fort Worth	regal-fossil-creek-fort-worth	UA Fossil Creek Stadium 11	Ft Worth	TX	US/Central
1869	Regal Fox Ashburn	regal-fox-ashburn	Regal Fox Stadium 16 & IMAX	Ashburn	VA	US/Eastern
1655	Regal Fox Laramie	regal-fox-laramie	Regal Fox Theater 6	Laramie	WY	US/Mountain
1728	Regal Fox Run Newington	regal-fox-run-newington	Regal Fox Run Stadium 15 & RPX	Newington	NH	US/Eastern
0633	Regal Fox Tower Portland	regal-fox-tower-portland	Regal Fox Tower Stadium 10	Portland	OR	US/Pacific
1845	Regal Franklin Square Gastonia	regal-franklin-square-gastonia	Regal Franklin Square Stadium	Gastonia	NC	US/Eastern
0712	Regal Fredericksburg	regal-fredericksburg	Regal Fredericksburg 14 & IMAX	Fredericksburg	VA	US/Eastern
1033	Regal Fresno Riverpark	regal-fresno-riverpark	Fresno Riverpark 19 & IMAX	Fresno	CA	US/Pacific
1299	Regal Galaxy Indianapolis	regal-galaxy-indianapolis	UA Galaxy Stadium 14	Indianapolis	IN	US/Eastern
1625	Regal Gallatin Valley	regal-gallatin-valley	Gallatin Valley Stadium 11	Bozeman	MT	US/Mountain
1740	Regal Galleria Mall Poughkeepsie	regal-galleria-mall-poughkeepsie	Regal Galleria Mall Stadium 16	Poughkeepsie	NY	US/Eastern
1551	Regal Gallery Place Washington	regal-gallery-place-washington	Regal Gallery Place Stadium 14	Washington	DC	US/Eastern
0364	Regal Garden Grove	regal-garden-grove	Regal Garden Grove Stadium 16	Garden Grove	CA	US/Pacific
0949	Regal Gateway Austin	regal-gateway-austin	Gateway Stadium 16 & IMAX	Austin	TX	US/Central
1891	Regal Georgian	regal-georgian	Regal Georgian Stadium 14	Newnan	GA	US/Eastern
1606	Regal Gilbert	regal-gilbert	Regal Gilbert Stadium 14	Gilbert	AZ	US/Arizona
0601	Regal Goldstream	regal-goldstream	Goldstream Stadium 16 & IMAX	Fairbanks	AK	US/Alaska
0115	Regal Grand Central Mall	regal-grand-central-mall	Regal Grand Central Mall 12	Vienna	WV	US/Eastern
1480	Regal Grande Esplanade	regal-grande-esplanade	Grand Esplanade 14 & GPX	Kenner	LA	US/Central
0513	Regal Green Hills Nashville	regal-green-hills-nashville	Regal Green Hills Stadium 16	Nashville	TN	US/Central
1875	Regal Greensboro Grande	regal-greensboro-grande	Greensboro Grande Stm 16 & RPX	Greensboro	NC	US/Eastern
1051	Regal Greenway Grand Palace Houston	regal-greenway-grand-palace-houston	Greenway Grand Pl Stm 24 & RPX	Houston	TX	US/Central
1794	Regal Greenwood	regal-greenwood	Greenwood Stadium 14 & RPX	Greenwood	IN	US/Eastern
1581	Regal Greenwood Mall	regal-greenwood-mall	Greenwood Mall Stadium 10	Bowling Green	KY	US/Central
1424	Regal Griffin	regal-griffin	Griffin 10	Griffin	GA	US/Eastern
1645	Regal Guam	regal-guam	Guam Megaplex 14	Tamuning	GU	Pacific/Guam
0684	Regal Gulf Coast Fort Myer	regal-gulf-coast-fort-myer	Gulf Coast Stadium 16 & IMAX	Fort Myers	FL	US/Eastern
0347	Regal Hacienda Crossings Dublin	regal-hacienda-crossings-dublin	Hacienda Stadium 20 IMAX & RPX	Dublin	CA	US/Pacific
0370	Regal Hadley South Plainfield	regal-hadley-south-plainfield	Hadley Theatre Stadium 16	South Plainfield	NJ	US/Eastern
0728	Regal Hamburg Pavilion Lexington	regal-hamburg-pavilion-lexington	Hamburg Pavilion 16 IMAX & RPX	Lexington	KY	US/Eastern
1729	Regal Hamilton Commons	regal-hamilton-commons	Hamilton Commons Stadium 14	Mays Landing	NJ	US/Eastern
1535	Regal Hamilton Mill Dacula	regal-hamilton-mill-dacula	Regal Hamilton Mill Stadium 14	Dacula	GA	US/Eastern
0117	Regal Hamilton Place Chattanooga	regal-hamilton-place-chattanooga	Hamilton Place 8	Chattanooga	TN	US/Eastern
1866	Regal Harbour View Grande Suffolk	regal-harbour-view-grande-suffolk	Harbour View Grande Stadium 16	Suffolk	VA	US/Eastern
1748	Regal Harrisburg	regal-harrisburg	Regal Harrisburg Stadium 14	Harrisburg	PA	US/Eastern
0735	Regal Harrisonburg	regal-harrisonburg	Regal Harrisonburg Stadium 14	Harrisonburg	VA	US/Eastern
1749	Regal Hazleton	regal-hazleton	Regal Hazleton Stadium 10	Hazleton	PA	US/Eastern
1643	Regal Heartland Early	regal-heartland-early	Regal Heartland Stadium 8	Early	TX	US/Central
0853	Regal Hilltop Oregon City	regal-hilltop-oregon-city	Regal Hilltop 9 Cinema	Oregon City	OR	US/Pacific
1816	Regal Holiday Stockton	regal-holiday-stockton	Stockton Holiday Cinema 8	Stockton	CA	US/Pacific
1421	Regal Hollywood Gainesville	regal-hollywood-gainesville	Hollywood 15	Gainesville	GA	US/Eastern
0488	Regal Hollywood Greenville	regal-hollywood-greenville	Hollywood Stm 20 Greenvl & RPX	Greenville	SC	US/Eastern
1607	Regal Hollywood Merced	regal-hollywood-merced	Regal Hollywood Merced 13	Merced	CA	US/Pacific
0465	Regal Hollywood Naples	regal-hollywood-naples	Regal Naples 4DX & IMAX	Naples	FL	US/Eastern
0489	Regal Hollywood Nashville	regal-hollywood-nashville	Hollywood Stm 27 & RPX Nville	Nashville	TN	US/Central
0483	Regal Hollywood Ocala	regal-hollywood-ocala	Hollywood Stm 16 & IMAX Ocala	Ocala	FL	US/Eastern
0418	Regal Hollywood Port Richey	regal-hollywood-port-richey	Regal Hollywood 18 Port Richey	Port Richey	FL	US/Eastern
0467	Regal Hollywood Sarasota	regal-hollywood-sarasota	Hollywood Stm 11 Sarasota	Sarasota	FL	US/Eastern
1624	Regal Hollywood St. Joseph	regal-hollywood-st-joseph	Hollywood Stm 10 St. Joseph	Saint Joseph	MO	US/Central
0164	Regal Hudson	regal-hudson	Regal Hudson Cinema 10	Hudson	OH	US/Eastern
0581	Regal Huebner Oaks San Antonio	regal-huebner-oaks-san-antonio	Huebner Oaks Stadium 14 & RPX	San Antonio	TX	US/Central
1711	Regal Hunt Valley	regal-hunt-valley	Regal Hunt Valley Stadium 12	Hunt Valley	MD	US/Eastern
1863	Regal Hyattsville Royale	regal-hyattsville-royale	Hyattsville Royale Stadium 14	Hyattsville	MD	US/Eastern
1717	Regal Independence Mall Kingston	regal-independence-mall-kingston	Independence Mall 14 & RPX	Kingston	MA	US/Eastern
1417	Regal Independence Plaza Hamilton	regal-independence-plaza-hamilton	Regal Independence Plaza 12	Hamilton	NJ	US/Eastern
1609	Regal Interquest Colorado Springs	regal-interquest-colorado-springs	Interquest Stadium 14 & RPX	Colorado Springs	CO	US/Mountain
1010	Regal Irvine Spectrum	regal-irvine-spectrum	Irvine Spectrum 20 IMAX & RPX	Irvine	CA	US/Pacific
1942	Regal Issaquah Highland	regal-issaquah-highland	Issaquah Stadium 12 IMAX & RPX	Issaquah	WA	US/Pacific
0677	Regal Ithaca Mall Stadium	regal-ithaca-mall-stadium	Regal Ithaca Mall Stadium 14	Ithaca	NY	US/Eastern
1808	Regal Jack London Oakland	regal-jack-london-oakland	Regal Jack London Stadium 9	Oakland	CA	US/Pacific
1418	Regal Janss Marketplace	regal-janss-marketplace	Regal Janss Marketplace 9	Thousand Oaks	CA	US/Pacific
1951	Regal Kapolei Commons	regal-kapolei-commons	Kapolei Commons 12	Kapolei	HI	US/Hawaii
1830	Regal Keauhou	regal-keauhou	Regal Keauhou Stadium 7	Keauhou-Kona	HI	US/Hawaii
0996	Regal Kendall Village Miami	regal-kendall-village-miami	Kendall Vlg Stm 16 IMAX & RPX	Miami	FL	US/Eastern
0412	Regal Key West	regal-key-west	Regal Cinema Key West 6	Key West	FL	US/Eastern
1636	Regal Killeen Stadium	regal-killeen-stadium	Regal Killeen Stadium 14	Killeen	TX	US/Central
1329	Regal King Of Prussia	regal-king-of-prussia	REG King of Prussia 4DX & IMAX	King Of Prussia	PA	US/Eastern
1865	Regal Kingstowne	regal-kingstowne	Kingstowne Stadium 16 & RPX	Alexandria	VA	US/Eastern
0704	Regal La Habra	regal-la-habra	Regal La Habra Stadium 16	La Habra	CA	US/Pacific
1484	Regal LA Live	regal-la-live	Regal LA Live	Los Angeles	CA	US/Pacific
1012	Regal La Verne	regal-la-verne	Edwards La Verne Stadium 12	La Verne	CA	US/Pacific
1286	Regal Laguna Village Sacramento	regal-laguna-village-sacramento	UA Laguna Village 12	Sacramento	CA	US/Pacific
0887	Regal Lakewood	regal-lakewood	Lakewood Stadium 15 & RPX	Lakewood	WA	US/Pacific
0596	Regal Lansing Mall	regal-lansing-mall	Lansing Mall Stadium 12 & RPX	Lansing	MI	US/Eastern
0446	Regal Largo Mall	regal-largo-mall	Regal Largo Mall 8	Largo	FL	US/Eastern
0563	Regal Laurel Town Center	regal-laurel-town-center	Regal Laurel Towne Centre 12	Laurel	MD	US/Eastern
1200	Regal Lee Hills Leesville	regal-lee-hills-leesville	UA Lee Hills 6	Leesville	LA	US/Central
0795	Regal Live Oak San Antonio	regal-live-oak-san-antonio	Live Oak Stadium 18 & RPX	Live Oak	TX	US/Central
0807	Regal Lloyd Center Portland	regal-lloyd-center-portland	Regal Lloyd Center 10 & IMAX	Portland	OR	US/Pacific
1441	Regal Lone Star Tomball	regal-lone-star-tomball	Regal Lone Star 19 IMAX & RPX	Tomball	TX	US/Central
0355	Regal Longston Place Puyallup	regal-longston-place-puyallup	Longston Place Stadium 14	Puyallup	WA	US/Pacific
0664	Regal Louisiana Boardwalk Bossier City	regal-louisiana-boardwalk-bossier-city	Louisiana Bdwalk Stm 14 & IMAX	Bossier City	LA	US/Central
1348	Regal Lynbrook	regal-lynbrook	Lynbrook 13 & RPX	Lynbrook	NY	US/Eastern
0339	Regal Magnolia Place Coral Springs	regal-magnolia-place-coral-springs	Magnolia Place Stadium 16	Coral Springs	FL	US/Eastern
1862	Regal Majestic Silver Spring	regal-majestic-silver-spring	Majestic Stadium 20 & IMAX	Silver Spring	MD	US/Eastern
0701	Regal Mall Of Georgia	regal-mall-of-georgia	Regal Mall of Georgia IMAX	Buford	GA	US/Eastern
1754	Regal Manahawkin Cinemas	regal-manahawkin-cinemas	Regal Manahawkin 10	Manahawkin	NJ	US/Eastern
1820	Regal Manchester Fresno	regal-manchester-fresno	Regal Manchester Stadium 16	Fresno	CA	US/Pacific
1886	Regal Manchester Rock Hill	regal-manchester-rock-hill	Regal Manchester Stadium 14	Rock Hill	SC	US/Eastern
0754	Regal Manor Cinema Lancaster	regal-manor-cinema-lancaster	Regal Manor Stadium 16	Lancaster	PA	US/Eastern
1048	Regal Market Place Irvine	regal-market-place-irvine	Market Place Stadium 10	Irvine	CA	US/Pacific
1433	Regal Marketplace at El Paseo	regal-marketplace-at-el-paseo	Regal Marketplace @ El Paseo	Fresno	CA	US/Pacific
0673	Regal Martin Village Lacey	regal-martin-village-lacey	Martin Village Stm 16 & IMAX	Lacey	WA	US/Pacific
0298	Regal Marysville	regal-marysville	Regal Marysville 14	Marysville	WA	US/Pacific
1718	Regal Mashpee Commons	regal-mashpee-commons	Regal Mashpee Commons 6	Mashpee	MA	US/Eastern
1512	Regal Massillon Great Escape	regal-massillon-great-escape	Regal Massillon Stadium 12	Massillon	OH	US/Eastern
1614	Regal Maui Mall Kahului	regal-maui-mall-kahului	Regal Maui Mall Megaplex 12	Kahului	HI	US/Hawaii
1873	Regal Mayfaire Wilmington	regal-mayfaire-wilmington	Regal Mayfaire Stm 16 & IMAX	Wilmington	NC	US/Eastern
0541	Regal McCain Mall Little Rock	regal-mccain-mall-little-rock	McCain Mall Stadium 12 & RPX	North Little Rock	AR	US/Central
1519	Regal McDonough	regal-mcdonough	Regal McDonough Stadium 16	McDonough	GA	US/Eastern
0707	Regal Medina Stadium	regal-medina-stadium	Regal Medina Stadium 16	Medina	OH	US/Eastern
0354	Regal Medlock Crossing Duluth	regal-medlock-crossing-duluth	Medlock Crossing Stm 18 & RPX	Duluth	GA	US/Eastern
1931	Regal Meridian Seattle	regal-meridian-seattle	Regal Meridian 16	Seattle	WA	US/Pacific
1007	Regal Metro Pointe Stadium Costa Mesa	regal-metro-pointe-stadium-costa-mesa	Metro Pointe Stadium 12	Costa Mesa	CA	US/Pacific
1804	Regal Metro San Jacinto	regal-metro-san-jacinto	Regal San Jacinto Metro 12	San Jacinto	CA	US/Pacific
0950	Regal Metropolitan Austin	regal-metropolitan-austin	Regal Metropolitan Stadium 14	Austin	TX	US/Central
1467	Regal MGM Springfield	regal-mgm-springfield	MGM Springfield 7	Springfield	MA	US/Eastern
1143	Regal UA Midway	regal-midway-stadium-forest-hills	UA Midway Stadium 9	Forest Hills	NY	US/Eastern
1043	Regal Mira Mesa Stadium San Diego	regal-mira-mesa-stadium-san-diego	Mira Mesa Stm 18 & IMAX & RPX	San Diego	CA	US/Pacific
1470	Regal Mission Marketplace Oceanside	regal-mission-marketplace-oceanside	Regal Mission Marketplace RPX	Oceanside	CA	US/Pacific
1818	Regal Modesto	regal-modesto	Regal Modesto Stadium 10	Modesto	CA	US/Pacific
1917	Regal Moorestown	regal-moorestown	Moorestown Mall Stm 12 & RPX	Moorestown	NJ	US/Eastern
1037	Regal Mountain Village Ontario	regal-mountain-village-ontario	Ontario Mtn Village Stm 14	Ontario	CA	US/Pacific
0855	Regal Movies On TV Hillsboro	regal-movies-on-tv-hillsboro	Regal Movies On TV Stadium 16	Hillsboro	OR	US/Pacific
0558	Regal Nanuet	regal-nanuet	Regal Nanuet Stadium 12 & RPX	Nanuet	NY	US/Eastern
0774	Regal Natomas Marketplace Sacramento	regal-natomas-marketplace-sacramento	Natomas MktPlace Stm 16 & RPX	Sacramento	CA	US/Pacific
0671	Regal New River Valley Christiansburg	regal-new-river-valley-christiansburg	New River Valley Stm 14 & RPX	Christianburg	VA	US/Eastern
0297	Regal New Roc City	regal-new-roc-city	New Roc City Stm 18 IMAX & RPX	New Rochelle	NY	US/Eastern
1868	Regal New Town Williamsburg	regal-new-town-williamsburg	Regal New Town Stadium 12	Williamsburg	VA	US/Eastern
1518	Regal Nitro	regal-nitro	Regal Nitro Stadium 12	Cross Lanes	WV	US/Eastern
1523	Regal Noblesville	regal-noblesville	Regal Noblesville Stadium 10	Noblesville	IN	US/Eastern
1846	Regal North Hills Raleigh	regal-north-hills-raleigh	Regal North Hills Stadium 14	Raleigh	NC	US/Eastern
1438	Regal North Hollywood	regal-north-hollywood	Regal North Hollywood 4DX	Los Angeles	CA	US/Pacific
0371	Regal Northampton Easton	regal-northampton-easton	Northampton Cinema 14 & RPX	Easton	PA	US/Eastern
1889	Regal Northlake Village Lexington	regal-northlake-village-lexington	Regal Northlake Village 8	Lexington	SC	US/Eastern
1622	Regal Northstar Joplin	regal-northstar-joplin	Regal Northstar Stadium 14	Joplin	MO	US/Central
0883	Regal Northtown Mall Spokane	regal-northtown-mall-spokane	Northtown Mall Stadium 12	Spokane	WA	US/Pacific
0940	Regal Northwoods San Antonio	regal-northwoods-san-antonio	Regal Northwoods Stadium 14	San Antonio	TX	US/Central
1647	Regal Nu'uuli Place Twin	regal-nuuuli-place-twin	Nu'uuli Place Twin	Pago Pago	AS	
0444	Regal Oakmont	regal-oakmont-bradenton	Regal Oakmont 8	Bradenton	FL	US/Eastern
0708	Regal Oceanside	regal-oceanside	Regal Oceanside Stadium 16	Oceanside	CA	US/Pacific
0758	Regal Old Mill Bend	regal-old-mill-bend	Old Mill Stadium 16 & IMAX	Bend	OR	US/Pacific
0615	Regal Opry Mills Nashville	regal-opry-mills-nashville	Regal Opry Mills 4DX & IMAX	Nashville	TN	US/Central
0380	Regal Oviedo Mall	regal-oviedo-mall	Regal Oviedo Mall Stadium 22	Oviedo	FL	US/Eastern
1269	Regal Oxford Valley Langhorne	regal-oxford-valley-langhorne	UA Oxford Valley Stadium 14	Langhorne	PA	US/Eastern
1870	Regal Palladium High Point	regal-palladium-high-point	Regal Palladium Stm 14 & IMAX	High Point	NC	US/Eastern
1884	Regal Palmetto Grand Mt Pleasant	regal-palmetto-grand-mt-pleasant	Regal Palmetto Grande Stm 16	Mount Pleasant	SC	US/Eastern
1914	Regal Park Place Pinellas Park	regal-park-place-pinellas-park	Park Place Stadium 16 & RPX	Pinellas Park	FL	US/Eastern
0388	Regal Parkway Plaza El Cajon	regal-parkway-plaza-el-cajon	Parkway Plaza Stm 18 & IMAX	El Cajon	CA	US/Pacific
1485	Regal Paseo Pasadena	regal-paseo-pasadena	Regal Paseo	Pasadena	CA	US/Pacific
1613	Regal Pavilion Port Orange	regal-pavilion-port-orange	Pavilion Stadium 14 & RPX	Port Orange	FL	US/Eastern
1827	Regal Pearl Highlands	regal-pearl-highlands	Pearl Highlands Stadium 12	Pearl City	HI	US/Hawaii
0133	Regal Peoples Plaza	regal-peoples-plaza	Regal Peoples Plaza Stadium 17	Newark	DE	US/Eastern
1309	Regal Perimeter Pointe Atlanta	regal-perimeter-pointe-atlanta	Perimeter Pointe Stadium 10	Atlanta	GA	US/Eastern
0682	Regal Pinnacle Knoxville	regal-pinnacle-knoxville	Pinnacle Stadium 18 IMAX & RPX	Knoxville	TN	US/Eastern
0656	Regal Pioneer Place Portland	regal-pioneer-place-portland	Regal Pioneer Place Stadium 6	Portland	OR	US/Pacific
0234	Regal Plymouth Meeting	regal-plymouth-meeting	Regal Plymouth Meeting 10	Conshohocken	PA	US/Eastern
1938	Regal Pointe Orlando	regal-pointe-orlando	Pointe Orlando Stm 20 & IMAX	Orlando	FL	US/Eastern
0880	Regal Poulsbo	regal-poulsbo	Regal Poulsbo Stadium 10	Poulsbo	WA	US/Pacific
1652	Regal Prince Kuhio	regal-prince-kuhio	Regal Prince Kuhio 9	Hilo	HI	US/Hawaii
0748	Regal Promenade Rolling Hills Estates	regal-promenade-rolling-hills-estates	Regal Promenade Stadium 13	Rolling Hills Est	CA	US/Pacific
1890	Regal Providence Mt Juliet	regal-providence-mt-juliet	Regal Providence Stm 14	Mt Juliet	TN	US/Central
0700	Regal Quaker Crossing	regal-quaker-crossing	Quaker Crossing Stadium 18	Orchard Park	NY	US/Eastern
0637	Regal Ranch Green Valley Henderson	regal-ranch-green-valley-henderson	Green Valley Ranch Stadium 10	Henderson	NV	US/Pacific
0361	Regal Rancho Del Rey Chula Vista	regal-rancho-del-rey-chula-vista	Rancho Del Rey Stadium 16	Chula Vista	CA	US/Pacific
1801	Regal Rancho Mirage	regal-rancho-mirage	Rancho Mirage Stm 16 & IMAX	Rancho Mirage	CA	US/Pacific
0659	Regal Red Rock Stadium Las Vegas	regal-red-rock-stadium-las-vegas	Red Rock Stadium 16 & IMAX	Las Vegas	NV	US/Pacific
1859	Regal Regency Panama City	regal-regency-panama-city	Regal Regency Stadium 11	Panama City	FL	US/Central
1943	Regal River Point Sheridan	regal-river-point-sheridan	River Point Stadium 14 & RPX	Sheridan	CO	US/Mountain
1995	Regal River Ridge Lynchburg	regal-river-ridge-lynchburg	Regal River Ridge Stadium 14	Lynchburg	VA	US/Eastern
1806	Regal Riverside Plaza	regal-riverside-plaza	Riverside Plaza Stadium 16	Riverside	CA	US/Pacific
0654	Regal Riverstone	regal-riverstone	Regal Riverstone Stadium 14	Coeur d'Alene	ID	US/Pacific
0690	Regal Riviera Knoxville	regal-riviera-knoxville	Riviera Stadium 8	Knoxville	TN	US/Eastern
0336	Regal Rockville Center	regal-rockville-center	Rockville Center Stadium 13	Rockville	MD	US/Eastern
0632	Regal Ronkonkoma	regal-ronkonkoma	Regal Ronkonkoma Stadium 9	Ronkonkoma	NY	US/Eastern
1860	Regal Royal Park Gainesville	regal-royal-park-gainesville	Regal Royal Park Stadium 16	Gainesville	FL	US/Eastern
0351	Regal Royal Royal Palm Beach	regal-royal-royal-palm-beach	Royal Palm Beach Stm 18 & RPX	Royal Palm Beach	FL	US/Eastern
0674	Regal Salisbury	regal-salisbury	Salisbury Stadium 16 & RPX	Salisbury	MD	US/Eastern
1946	Regal Salmon Run Watertown	regal-salmon-run-watertown	Regal Salmon Run Stadium 12	Watertown	NY	US/Eastern
1799	Regal San Bernardino	regal-san-bernardino	San Bernardino Stm 14 & RPX	San Bernardino	CA	US/Pacific
1034	Regal San Marcos	regal-san-marcos	Edwards San Marcos Stadium 18	San Marcos	CA	US/Pacific
1855	Regal Sandhill Columbia	regal-sandhill-columbia	Sandhill Stm 16 IMAX & RPX	Columbia	SC	US/Eastern
1465	Regal Santa Fe	regal-santa-fe	Regal Santa Fe Place	Santa Fe	NM	US/Mountain
